2,"[1, 1]"
3,"[1, 2, 3]"
4,"[1, 3, 8, 12]"
5,"[1, 4, 15, 40, 60]"
6,"[1, 5, 24, 90, 240, 360]"
7,"[1, 6, 35, 168, 630, 1680, 2520]"
8,"[1, 7, 48, 280, 1344, 5040, 13440, 20160]"
9,"[1, 8, 63, 432, 2520, 12096, 45360, 120960, 181440]"
10,"[1, 9, 80, 630, 4320, 25200, 120960, 453600, 1209600, 1814400]"
