3,"[1, 3, 2]"
4,"[1, 4, 7, 7, 4, 1]"
5,"[1, 4, 9, 16, 26, 36, 25, 3]"
6,"[1, 4, 10, 21, 42, 83, 142, 191, 167, 44, 10, 4, 1]"
7,"[1, 4, 10, 23, 50, 108, 223, 424, 684, 935, 1016, 900, 502, 142, 17, 1]"
8,"[1, 4, 10, 24, 55, 124, 271, 581, 1156, 2090, 3353, 4785, 6122, 7224, 7206, 5379, 1658, 228, 34, 10, 4, 1]"
9,"[1, 4, 10, 24, 57, 132, 295, 658, 1415, 2932, 5516, 9646, 15384, 23219, 32526, 43403, 52315, 57918, 54565, 40546, 17571, 3858, 768, 109, 7, 1]"
10,"[1, 4, 10, 24, 58, 137, 311, 706, 1561, 3401, 7137, 13995, 25555, 44212, 72557, 113338, 169552, 239510, 320258, 403237, 472291, 504473, 486514, 402386, 248327, 83454, 14016, 1494, 232, 34, 10, 4, 1]"
