3,"[1, 2, 3]"
4,"[1, 2, 3, 5, 5, 5, 3]"
5,"[1, 2, 3, 5, 8, 12, 15, 20, 22, 19, 11, 2]"
6,"[1, 2, 3, 5, 8, 13, 20, 30, 42, 56, 73, 87, 98, 101, 85, 59, 29, 7, 1]"
7,"[1, 2, 3, 5, 8, 13, 21, 33, 52, 78, 110, 151, 203, 265, 337, 417, 485, 530, 554, 552, 499, 388, 227, 83, 21, 2]"
8,"[1, 2, 3, 5, 8, 13, 21, 34, 54, 86, 133, 195, 275, 379, 514, 685, 901, 1170, 1492, 1850, 2217, 2586, 2947, 3276, 3534, 3649, 3589, 3343, 2865, 2167, 1358, 688, 239, 31, 9, 1]"
9,"[1, 2, 3, 5, 8, 13, 21, 34, 55, 88, 141, 221, 332, 479, 671, 923, 1253, 1681, 2235, 2948, 3859, 5010, 6420, 8074, 9939, 12008, 14281, 16727, 19268, 21785, 24173, 26209, 27523, 27766, 27003, 25493, 23053, 19472, 14997, 10111, 5624, 2259, 574, 108, 28, 2]"
10,"[1, 2, 3, 5, 8, 13, 21, 34, 55, 89, 143, 230, 364, 556, 817, 1162, 1616, 2214, 3001, 4032, 5381, 7141, 9430, 12402, 16227, 21054, 26973, 34016, 42208, 51628, 62390, 74591, 88312, 103617, 120479, 138566, 157000, 174461, 190050, 203804, 215904, 225908, 232431, 233633, 228261, 215663, 195505, 168235, 135391, 99605, 64890, 35925, 16203, 5628, 1296, 175, 39, 11, 1]"
11,"[1, 2, 3, 5, 8, 13, 21, 34, 55, 89, 144, 232, 374, 596, 923, 1378, 1988, 2795, 3860, 5266, 7121, 9563, 12775, 16993, 22523, 29769, 39239, 51518, 67186, 86740, 110567, 139006, 172491, 211658, 257329, 310479, 372223, 443790, 526455, 621284, 728791, 848554, 978969, 1117809, 1263275, 1414376, 1569820, 1726427, 1878807, 2020305, 2143517, 2240794, 2303183, 2319126, 2276744, 2170460, 2007295, 1803501, 1570497, 1308806, 1024042, 738094, 478420, 269328, 126005, 46507, 13207, 2891, 580, 138, 34, 2]"
